username,post,likes,type,datetimes,captions
lailaaezzat,https://www.instagram.com/p/CbDNt3yqOkj/,7788,clip,2022-03-13T16:14:23.000Z,Full face of makeup using products I got from @feel22egypt 💗You can use my promocode ‘LAILA10’ for a discount on your next purchase💗 (Also let me know what you think🥰)
lailaaezzat,https://www.instagram.com/p/Ca7Jm0wqNoA/,15393,carousel,2022-03-10T13:00:51.000Z,Hi there🤍🕺🏽
lailaaezzat,https://www.instagram.com/p/CYbi60yK5uU/,15543,photo,2022-01-07T13:23:33.000Z,blues 🪴
lailaaezzat,https://www.instagram.com/p/CYR2UacKuEA/,15531,clip,2022-01-03T19:06:31.000Z,"2021 RECAP ✨

I’d just like to say that this is a highlight reel of some of the best moments this year. I just don’t happen to film the sad moments ! I don’t want to set unrealistic expectations. This year has been a rollecoaster with a lot of highs & lows. I dealt with loss & i also experienced a lot of new things for the first time and reached a lot of milestones in my career that i’m proud of. I don’t like long cheesy captions so i just want to wish you all a happy new year and hope your 2022 is filled with happy moments & health 🤍"
lailaaezzat,https://www.instagram.com/p/CX6FN8lqikU/,14434,carousel,2021-12-25T13:29:05.000Z,dressed for the occasion 🌅
lailaaezzat,https://www.instagram.com/p/CX3fOpgqphD/,23496,clip,2021-12-24T13:20:06.000Z,"✨Get ready with me✨

Happy Friday!!🌞"
lailaaezzat,https://www.instagram.com/p/CXWVA3RKqui/,25290,carousel,2021-12-11T16:14:27.000Z,when you first see me VS when you get to know me 🌾
lailaaezzat,https://www.instagram.com/p/CXQ1K3hqWt_/,23144,photo,2021-12-09T12:59:59.000Z,Touchdown Siwa 📍filter used @yazis.world
lailaaezzat,https://www.instagram.com/p/CXBYkAtqJRk/,14800,clip,2021-12-03T13:12:13.000Z,Had to make @ojmakeupartist bless my face before i left Dubai ☺️💗
lailaaezzat,https://www.instagram.com/p/CW8RMSpqiV9/,14991,photo,2021-12-01T13:20:48.000Z,what shows are you watching these days? i need recommendations 👼🏽
lailaaezzat,https://www.instagram.com/p/CWyRFBQqc-w/,unknown,clip,2021-11-27T16:09:49.000Z,Cooking with Laila 👩🏽‍🍳 SWEET AND SOUR CHICKEN 🐔
lailaaezzat,https://www.instagram.com/p/CWtbWKaKMSD/,20703,photo,2021-11-25T19:00:55.000Z,How do we feel about denim on denim?🧸
lailaaezzat,https://www.instagram.com/p/CVtDgauqYnN/,17490,clip,2021-10-31T19:02:41.000Z,I love halloween!! What do you think of my costume? 🤡💀🎃 #joker #halloween
lailaaezzat,https://www.instagram.com/p/CU0Hh_aK4OP/,16667,photo,2021-10-09T16:19:40.000Z,not done with the dubai spam yet☺️
habiba.gadalla,https://www.instagram.com/p/Ccd65cjIG5n/,unknown,clip,2022-04-17T21:37:21.000Z,"2:18 day.5
I ranted for a little bit to celebrate the 2 minutes"
habiba.gadalla,https://www.instagram.com/p/Ccdj5tRIFU8/,480,clip,2022-04-17T18:16:45.000Z,Adulthood isn’t as bad as I thought
habiba.gadalla,https://www.instagram.com/p/CcbDxbzBzZs/,unknown,clip,2022-04-16T18:57:07.000Z,1:42 day.4
habiba.gadalla,https://www.instagram.com/p/Cca77EiLYOi/,996,clip,2022-04-16T17:49:13.000Z,"Obsessed with these pants
* from @bershka"
habiba.gadalla,https://www.instagram.com/p/CcYeOuJBO1C/,unknown,clip,2022-04-15T18:50:34.000Z,1:38 day.3
habiba.gadalla,https://www.instagram.com/p/CcYbHHYuu-M/,580,clip,2022-04-15T18:23:39.000Z,
habiba.gadalla,https://www.instagram.com/p/CcYUXUIsfmP/,971,carousel,2022-04-15T17:24:13.000Z,Exhausted but having fun 🎥
habiba.gadalla,https://www.instagram.com/p/CcVrHodB3Io/,unknown,clip,2022-04-14T16:45:31.000Z,1:25 day.2
habiba.gadalla,https://www.instagram.com/p/CcTL7xaLawB/,373,photo,2022-04-13T17:34:21.000Z,Take me back 🌊
habiba.gadalla,https://www.instagram.com/p/CcTCkfqhAXo/,unknown,clip,2022-04-13T16:12:43.000Z,01:04 day one
habiba.gadalla,https://www.instagram.com/p/Cb_GTvssKgV/,1945,photo,2022-04-05T22:20:23.000Z,red waves
habiba.gadalla,https://www.instagram.com/p/CbxRRgGMSc9/,1407,photo,2022-03-31T13:26:50.000Z,I call this look; your exhausted workaholic sleep deprived modern woman trying to solve her sleep issues
habiba.gadalla,https://www.instagram.com/p/Cbkjf_PMKKn/,648,photo,2022-03-26T14:55:58.000Z,#tb to our Aswan trip because all I do now is work
habiba.gadalla,https://www.instagram.com/p/Cbab9omsiA4/,1618,carousel,2022-03-22T16:37:43.000Z,Should I bring her back? (Black hair)
habiba.gadalla,https://www.instagram.com/p/CbC0NnRsB2k/,929,photo,2022-03-13T12:27:50.000Z,Life right now
habiba.gadalla,https://www.instagram.com/p/Ca70JbhLfpi/,1015,photo,2022-03-10T19:12:35.000Z,a lot like home
habiba.gadalla,https://www.instagram.com/p/Ca4TSt6rsTr/,1934,carousel,2022-03-09T10:27:46.000Z,Previously on.. (Feb edition)
habiba.gadalla,https://www.instagram.com/p/Ca0FBTJLEZc/,1096,photo,2022-03-07T19:06:06.000Z,"it recently came to my attention that it’s not really nice to disappear on people and I’d much rather talk to an imaginary audience instead of actual people who care about my well-being (looking at my friends) so here we go. Hi, I’m alive,and okay-ish?- (the general definition of okay) just isolating for lack of serotonin and basic brain functions, as usual, will come back stronger than ever, wait for the glow up.

ps: if you deal with me on daily basis please just ignore this because it’s embarrassing"
habiba.gadalla,https://www.instagram.com/p/CaKK2w4LitV/,1483,photo,2022-02-19T12:28:59.000Z,"""Try not to resist the changes that come your way. Instead let life live through you. And do not worry that your life is turning upside down.""
(Elif Shafak, The Forty Rules of Love)"
habiba.gadalla,https://www.instagram.com/p/CZ6r7YZr8xt/,1553,photo,2022-02-13T12:10:07.000Z,What a view! Also the sky and the Nile look nice behind me 🌞
withhags,https://www.instagram.com/p/Cbum7rwM_vq/,1772,carousel,2022-03-30T12:38:22.000Z,"Sending you 🧡🦋☀️
.
Ramadan is approaching! Ramadan kareem <3 :))
.
✏️You can still ask any skincare/ skin Qs you have.
I haven’t been able to check my dms lately cuz your girl has exams :/… will get back to them as soon as possible. Love you <3 I hope your heart is happy 🧡.
.
🥺"
withhags,https://www.instagram.com/p/CbsbMTiKYJS/,1183,clip,2022-03-29T16:19:26.000Z,"Ultraviolet rays are very harmful to the skin, and they can cause so much visible damage to the skin, eg: tanning, wrinkles, dark spots, inflammation, decreased clarity, etc.
.
However, damage can still occur without showing any visible signs that can be seen on the skin. It can occur on a cellular level. It’s also cumulative because our skin can’t always repair the damage before being exposed to the sun again.
.

☀️UVB rays—> are responsible for skin burns, which increase the risk of skin cancer. They can only penetrate the epidermis (top layer of the skin) very few rays can make it to the dermis (2nd layer), and cause DNA damage. DNA damage triggers melanocytes (pigment cells), to produce melanin to protect the skin. This shows that tanning is a sign of skin damage.Usually strongest in the summer, and they tend to vary depending on the time of the day, location and time of the year
.
.
☀️UVA—> can penetrate the ozone layer by 95%, can also penetrate clouds and windows. They can penetrate deep to the dermis (2nd layer of the skin). They don’t really vary during the year, they’re present all year round. They play a role in skin cancer and a greater role in skin premature aging (photoaging).
.
⭐️The sunlight is predominantly UVA.
.
🤓Nerdy facts:
☄️UVA is efficient at generating reactive oxygen species that can damage DNA via indirect photosensitizing reactions.
☄️UVB is directly absorbed by DNA which causes molecular rearrangements forming the specific photoproducts such as cyclobutane dimers and 6 – 4 photoproducts. Mutations and cancer can result from many of these modifications to DNA.
.
I hope you found this helpful 🥰"
withhags,https://www.instagram.com/p/Cbn_IdasmU6/,1453,carousel,2022-03-27T22:55:09.000Z,"Celebrating Retinol, hyalu B5, and of course it’s always a celebration of sunscreen 🤩!
.
Can’t put into words how proud I am to be part of this. Even prouder of everyone who took part of this event and all the hard workers behind making this event happen!⭐️
.
You all rock @youssraelgamal , @fatmabahgat , @clarityaesthetics .🥰
.
Special thanks for @zahra_bensouda @tawfik_ah @miralbasem @nahlaagour @taste_by_naira 🥰"
withhags,https://www.instagram.com/p/Cbay-lMt1o9/,1651,clip,2022-03-22T20:02:25.000Z,"I was feeling extremely tired that day, but I thought of filming a video of my nighttime routine instead of just… going to sleep with my “not so clean face” lol.
.
We all have our days where we’re just extremely tired to do anything, that’s very normal.
.
Leave any Questions you have in the comments! Would love to answer them all🤍
.
Products used:
@theinkeylist pay cleansing balm (gifted by @dr.lilii.store )
@ceraveegypt foaming cleanser
@deciem modulating glucosides
@bioderma_egypt atoderm
@uriage_egypt xemose lip balm"
withhags,https://www.instagram.com/p/CbVc9c9Ok01/,1437,clip,2022-03-20T18:30:24.000Z,"Comment down below what DIY you used to make 🤯
.
Tag a friend 🥰"
withhags,https://www.instagram.com/p/CbIlbWtg4kM/,2357,clip,2022-03-15T18:17:43.000Z,"Let me know how do you deal with any disruption to your skin barrier🥰!
.
What’s your favorite product to soothe skin irritation?"
withhags,https://www.instagram.com/p/CbDi2hlu5TQ/,1990,clip,2022-03-13T19:28:55.000Z,"I always see people wrongly using acretin, which only leads to skin irritation.
.
⭐️ Don’t attempt to mix or use prescription creams without consulting with your doctor.
⭐️ Always wear sunscreen.
⭐️ understand that acretin here in egypt is OTC, (over the counter), which means, it doesn’t need a doctor’s prescription. However, in several countries abroad, it’s considered a prescription medication. Different countries regulate things differently and that’s normal. However, acretin (tertinoin) is a potent retinoid, do not advise people to use it without professional medical supervision.
.
I hope you found this helpful. Leave your comments below🤍"
withhags,https://www.instagram.com/p/Ca4rcazMdZK/,1944,carousel,2022-03-09T13:58:48.000Z,"Hello!
As some of you may know, I’m a Medical student, and I try to run this online blog where I talk about skincare/skin from a scientific stand-point. But as I always say, the person behind this account is so much more than skincare. And I have my ups and downs. If you’ve been following me for a while, you probably noticed my pattern of inconsistency with posting last year. This was because that I totally neglected my mental health, and thought that pushing my limits would lead to a positive outcome, and as expected, it only lead to me not being able to function, and losing track of what if feels like to be normal. It took me a long while to want to heal, and now, I’m still healing and trying to be gentle with myself.
.
Here's a reminder that it's ok to feel like you're nowhere near where you want to be.
Everything in life is a process, and rushing it is simply impossible, and this is what I’m trying to do. Heal :)
Go easy on yourself. I love you🤍
.
Dear Limitless Women,

Celebrating the Women Month, I remind you to take a moment to celebrate every little step you take. To thank yourself for handling the daily life stresses, for not giving up and for getting things done in its perfect way.

Limitless womanmax is reminding you that your overall health & wellbeing is your priority.
Limitless womanmax…A Limitless formula for a Limitless woman
Limitless woman max supports your wellbeing, Energy, Immunity & beauty.
With 26 Most needed vitamins & Minerals.

Appreciate and thank yourself you are LIMITLESS just the way you are!

I’m Hagar Elgezeri & I AM Limitless
#IAMLIMITLESS
#LIMITLESSWOMANMAX
@Limitlessnaturals
@eva.pharma"
withhags,https://www.instagram.com/p/CarzxwHNDVz/,1578,clip,2022-03-04T14:38:47.000Z,"Anything that you put on your skin has the potential to flare acne/ or cause irritation. In the absence of a confirmed allergy to an ingredient,trying to figure out
""safe vs unsafe for acne prone skin"" is futile .Formulation overall influences this, as
well as individual differences.
.

The allegation that mineral oil is ""pore clogging
is not based on much actual science and ignores
product formulation overall.
.
I hope you found this helpful🥰"
withhags,https://www.instagram.com/p/CakgLwvlOkw/,unknown,clip,2022-03-01T17:59:01.000Z,"I think it’s a nice product overall as my experience was positive. It’s like a cocktail of actives. It’s just that if you actually want a vitamin C product, I’d recommend other products. And if you have prominent pigmentation, there are other products I’d actually recommend.
.
⭐️ I noticed improved skin texture
⭐️ more glow to my skin
⭐️ I can’t comment on fine lines and wrinkles obviously as I don’t have any
⭐️ it lightened my pigmentation in a month. I stopped using all of my actives and only used this product to test it out.
⭐️the fragrance didn’t bother me
.
💔 the combination of too many acids actually made my skin barrier scream lol. I can only use this for 3 times per week. (It’s mentioned to use it daily, I just couldn’t)
.
💳would I repurchase? Probably not.. not sure… I don’t think my skin needs this product at the moment as my concerns aren’t related to pigmentation. And I can achieve the glow this product gave me by using other products.
.
How the ingredients work?
🧵Ingredients that inhibit tyrosinase activity (the enzyme that synthesize melanin):
⭐️Azelaic acid
⭐️ licorice root extract
⭐️ ascorbyl glucoside
🧵ingredients that prevent melanin transfer
⭐️ Niacinamide
🧵antioxidants (prevent)
⭐️ niacinamide
⭐️ascorbyl glucoside
.
Let me know if you have any questions below🤍 and let me know what do you think of the video 🥰! Thank you for watching 😚"
withhags,https://www.instagram.com/p/Cacq6xwNEG1/,1620,clip,2022-02-26T17:02:00.000Z,"I mentioned coupled of times that I was on roaccutane , and got so many questions if I have any tips, so I thought of letting you guys know some of the basic tips you need to know before starting.
.
It’s important to understand that roaccutane/ netlook/ isotretinon can only be taken under a dermatologist’s supervision
.
Let me know if you have any questions regarding roaccutane or acne treatments in general in the comments🥰"
withhags,https://www.instagram.com/p/CaPewIXjrQ4/,1134,clip,2022-02-21T14:09:10.000Z,"Let me know if you found this helpful!
.
What product do you use to help with your acne OR dryness? 🤍
.
Leave any Qs you have in the comments below! Will be answering them🤍"
withhags,https://www.instagram.com/p/CaHb0oJLM_i/,2706,clip,2022-02-18T11:02:11.000Z,"Here’s what I do the next morning if I skip my nighttime skincare routine or just improperly wash my face.
.
I know I always advise you guys not to sleep in makeup/sunscreen or simply dirty face. But sometimes feeling down, being tired, busy, anxious, depressed, sick or just lazy can make you skip your routine and that’s normal <3 :)).
.
This is what I do the next morning if I have the energy. 🥰
.
🧵products used:
💡 @theinkeylist oat cleansing balm (gifted by @dr.lilii.store ) first time using it
💡 @ceraveegypt foaming cleanser
💡 @deciem salicylic acid mask
💡 @larocheposay thermal water
💡 @larocheposay hyalu B5 serum
💡 @deciem modulating glucosides
💡 @bioderma_egypt atoderm cream.
💡 @uriage_egypt xemose lip balm
.
Hope this helped 🤍🥰"
withhags,https://www.instagram.com/p/CaFYbkYMBVz/,1408,carousel,2022-02-17T15:51:24.000Z,"From @maskonegypt KF94 mask launch!
.
Congrats @narimaan.farouk! You’re an inspo in every way!😇
.
@dashmanagement_ <3"
withhags,https://www.instagram.com/p/CaC1KLtu1IH/,unknown,clip,2022-02-16T16:16:13.000Z,"Here’s my KP routine!
Starting from the shower gel I use to the hair removal method I prefer. 😇
.
Let me know if you have any Qs in the comments 🤍"
withhags,https://www.instagram.com/p/CZ_zjavsBUh/,2802,carousel,2022-02-15T11:52:57.000Z,lotus flower 𓆸
withhags,https://www.instagram.com/p/CZzd56gPG30/,unknown,clip,2022-02-10T17:06:34.000Z,"I hope this was helpful! Let me know if you have any questions in the comments below 🤍 !
.
🧵Product recommendation:
🪒Body wash:
- Neutrogena spot controlling facial wash
- la roche posay effaclar micropeeling
- cerave SA cleanser
🪒Scrub:
- Earth owls body scrub
🪒shaving gel:
- Gillette Satin Care shaving gel
- Gillette satin care play vanilla cashmere
🪒exfoliants:
- the ordinary glycolic acid toning solution
- Paula’s choice salicylic acid 2%
- isis pharma Glyco-A
- adapalene (or any retinoid)
🪒moisturizer:
- la roche posay lipikar baume
- cerave moisturizing cream
🪒soothing creams:
- La roche posay cicaplast
- bioderma cicabio
🪒moisturizers with urea:
- urepar moisturizer
- isis pharma urelia emollient cream
🪒moisturizer with AHA:
- isis pharma secalia balm
.
Let me know what product helped with your keratosis pilaris/ or procedure? 🤍"
withhags,https://www.instagram.com/p/CZcbO_4pIeE/,1544,clip,2022-02-01T18:10:36.000Z,"Leaving your pimple alone isn’t a bad option at all… however what you can do is one of these things:
🤍apply a soothing cream to help lessen the inflammation
🤍 put a pimple patch on it to prevent unnecessary contact with the pimple and minimize scarring
🤍 apply products with one of these ingredients:
✏️Salicylic acid
✏️ Azelaic acid
✏️ RETINOIDS
✏️ AHAs (lactic acid for example)
✏️ benzoyl peroxide
✏️ Sulfur
.
Stay tuned for an in-depth video on the ingredients that can help with acne🤍
.
إنكم تسيبوا الجباية لوحدها ده مش شيء غلط، بس لو عايزين تعملوا حاجة ممكن:
🤍 تحطوا كريم يقلل من الإلتهاب
🤍تحطوا pimple patch عشان تمنعوا إن تفضلوا تلمسوا الحباية
🤍ممكن تستعملوا منتج فيه مكونات زي:
✏️ salicylic acid
✏️ Azelaic acid
✏️RETINOIDS
✏️ AHAs (lactic acid)
✏️ benzoyl peroxide
✏️sulfur

.
Stay tuned for a video explaining more about ingredients to use when having acne 🤍"
withhags,https://www.instagram.com/p/CY31SzgJW01/,1211,clip,2022-01-18T13:04:54.000Z,"A very very lazy day of my life (that I love to view as productive lol)
.
If you made it till the end, I love u :’)
.
Wearing @dieuxskin by @charlotteparler 😚"
withhags,https://www.instagram.com/p/CYyq3NwpmFm/,1378,clip,2022-01-16T12:56:53.000Z,"You need around 2mg of sunscreen per cm2 of your skin to get the protection labelled on the bottle. So if your bottle says SPF 50, you need 2mg/cm2 to get the SPF 50.
.
Our faces aren’t the same size obviously speaking, but based on the average face size you need around 1/4 a teaspoon for your face (1/2 for your face and neck). Some people may need less than 1/4 a teaspoon, and other people may need more. However, we usually tend to underapply, so sticking to a 1/4 teaspoon would be much safer.
.
⭐️If you love to follow the fingers method for sunscreen application. 1/4 a tea spoon of a fluid sunscreen would probably be more than 3 fingers as it’s more spreadable.
.
I personally apply 2 layers of sunscreen to minimize skip areas (patchy application) and ensure that I am having an even layer of sunscreen to get the maximum protection possible. Specially that I usually opt for fluid sunscreens that spread easier and more and can give the illusion of putting a larger amount.
.
If you use the 2-3 fingers method and find it enough, keep using it🤍.
في العادي بنحتاج ٢ مج من الsunscreen لكل cm2 من بشرتنا عشان ناخذ الحماية الي مكتوبة علي العلبة (spf 50 مثلاً).
.
وشوشنا عمتاً مش نفس الحجم، لكن نسبةً لمتوسط حجم وشوش الناس، بنحتاج حوالي ١/٤ معلقة صغيرة للوش (١/٢ معلقة صغيرة للوش و الرقبة) في ناس بتحتاج أكثر من ١/٤ معلقة صغيرة و ناس بتحتاج أقل، بس إحنا في العادي في فرض أكثر إننا ممكن نحط أقل. فا حاولوا تمشوا علي ال١/٤ معلقة صغيرة.
.
⭐️لو بتحبوا تحطوا الsunscreen بطريقة الصوابع. ١/٤ معلقة بنسبة كبيرة هيكون أكثر من ٣ صوابع عشان القوام بتاع السائل بيتفرد أكثر من الكريم.
.
أنا بفضل أحط الsunscreen علي طبقتين، عشان أقبل من فرصة إني أكون فوتت حتت من وشي و أتأكد إني بحط طبقة متساوية علي وشي كدة عشان أخذ أكثر حماية ممكنة. خصوصاً إني في الأغلب بستعمل الsunscreen السائل و هو بيتفرد أكثر و أسهل و ممكن يدي إحساس خاطىء إننا بنستعمل كمية كبيرة.
.
لو بتستعملوا الطريقة بتاعكم الصوابع و مرتاحين عليها، كملوا عادي🤍"
youssraelgamal,https://www.instagram.com/p/CcBuUehsUJf/,9566,carousel,2022-04-06T22:48:30.000Z,رمضان كريم🌙✨
youssraelgamal,https://www.instagram.com/p/Cb-45tfuP1g/,1540,clip,2022-04-05T20:24:18.000Z,"Post Inflammatory Erythema

How can you tackle it with skincare and what ingredients to use in your routine!

👯‍♀️ Mention a friend who might need to see this!

There are other procedures that you can do in a clinic that I'll discuss later."
youssraelgamal,https://www.instagram.com/p/Cb28xYAtxRU/,1688,clip,2022-04-02T18:31:15.000Z,"Since April is Rosacea Awarness Month

Here is the skin 101 and ingredients guide on Rosacea

Do you suffer from Rosacea?

Mention someone who suffers from Rosacea"
youssraelgamal,https://www.instagram.com/p/Cbn9FpCMa4Q/,5163,carousel,2022-03-27T22:37:17.000Z,"One hell of a night!
And what a way to welcome the Retinol B3 to Egypt and celebrate the Hyalu B5 ✨

Incredible team behind this event tonight @tawfik_ah , @miralbasem , @nahlaagour , @zahra_bensouda @taste_by_naira @fatmabahgat @withhags & ofcourse @clarityaesthetics the entire team of Loreal Egypt & Skypress.

To many more to come 😍

Thank you to everyone who came🥰"
youssraelgamal,https://www.instagram.com/p/CbVhOy6Pshv/,2164,clip,2022-03-20T18:48:08.000Z,"This Skin 101 episode is all about Wrinkles!

No matter what we do we are all going to have them!

Here is what you can about it with skincare💞

Other procedures are; Botox , Fillers , Microneedling , peeling which we will discuss later"
